# Lista completa de marcas de cosmeticos capilares
# Formato: Marca	Marketplace	URL

Nupill	Mercado Livre	https://nupill.com.br/
Nutrat	Beleza na Web	https://nutrat.com.br/
Nyaliss Beauty	Beleza na Web	https://nyaliss.com.br/
Nyata Cosmeticos	Beleza na Web	https://nyatacosmeticos.com.br/
O Boticario	Mercado Livre	https://boticario.com.br/
O Lobo do Mar	Beleza na Web	https://olobodomar.com.br/
Obliphica Cosmeticos	Beleza na Web	https://obliphicacosmeticos.com.br/
Oe Nani	Beleza na Web	https://oenani.com.br/
Oeje Brazil	Beleza na Web	https://oeje.com.br/
Okyo	Beleza na Web	https://okyo.com.br/
Oncosmetic	Mercado Livre	https://oncosmetic.com.br/
Onixx Brasil	Beleza na Web	https://onixxbrasil.com.br/
Oriente Life	Beleza na Web	https://orientelife.com.br/
Ouribel Cosmeticos	Mercado Livre	https://ouribel.com.br/
OX Cosmeticos	Beleza na Web	https://oxcosmeticos.com.br/
Oxe Cosmetics	Beleza na Web	https://oxecosmeticos.com.br/
Paiolla Professional	Beleza na Web	https://paiolla.com.br/
Pantene	Beleza na Web	https://pantene.com.br/
Paresi Nature	Beleza na Web	https://paresinature.com.br/
Patrono	Beleza na Web	https://patrono.com.br/
Petre Cosmetics	Beleza na Web	https://petrecosmetics.com.br/
pHAMDA Professional	Beleza na Web	https://phamda.com.br/
Pharma	Mercado Livre	https://pharma.com.br/
Pharmacy Botanicals	Beleza na Web	https://pharmacybotanicals.com.br/
PHK Professional Hair	Beleza na Web	https://phkcosmeticos.com.br/
Physalis	Mercado Livre	https://physalis.com.br/
Phytobelle	Mercado Livre	https://phytobelle.com.br/
Phytoca	Beleza na Web	https://phytoca.com.br/
Phytogen	Beleza na Web	https://phytogen.com.br/
Phytoervas	Beleza na Web	https://phytoervas.com.br/
Plancton	Beleza na Web	https://planctonprofessional.com.br/
Plattelli Profissional	Beleza na Web	https://plattelli.com.br/
Pokoloka	Beleza na Web	https://pokoloka.com.br/
Portier	Beleza na Web	https://portier.com.br/
Premier Hair	Beleza na Web	https://premierhair.com.br/
Principia	Mercado Livre	https://principia.com.br/
Pro Cachos	Mercado Livre	https://procachos.com.br/
ProArt	Beleza na Web	https://proart.com.br/
PROBELLE	Beleza na Web	https://probelle.com.br/
Professional Paris Cosmetics	Beleza na Web	https://professionalparis.com.br/
Prohair Cosmeticos Profissionais	Beleza na Web	https://prohaircosmeticos.com.br/
Prohall Cosmetic	Beleza na Web	https://prohallcosmetic.com.br/
QOD	Beleza na Web	https://qodcity.com.br/
Quantic Flora	Beleza na Web	https://quanticflora.com.br/
Raavi	Beleza na Web	https://raavi.com.br/
Rainha dos Cachos	Beleza na Web	https://rainhadoscachos.com.br/
Raiz Latina	Beleza na Web	https://raizlatina.com.br/
Rare Way Cosmeticos	Beleza na Web	https://rarewaycosmeticos.com.br/
Rauk	Beleza na Web	https://rauk.com.br/
RAVV	Beleza na Web	https://ravv.com.br/
Rebeel Professional	Beleza na Web	https://rebeel.com.br/
Red Iron	Mercado Livre	https://rediron.com.br/
Redken	Beleza na Web	https://redken.com.br/
Retro Cosmeticos	Beleza na Web	https://retrocosmeticos.com.br/
RG Professional	Beleza na Web	https://rgprofessional.com.br/
Richee Professional	Beleza na Web	https://richee.com.br/
Rie Salon-Pro	Beleza na Web	https://riesalonpro.com.br/
Rienza	Beleza na Web	https://rienza.com.br/
Rigolim Hair & Co	Beleza na Web	https://rigolim.com.br/
Risa Professional	Beleza na Web	https://risaprofessional.com.br/
Rivenna Professional	Beleza na Web	https://rivenna.com.br/
Robson Peluquero	Beleza na Web	https://robsonpeluquero.com.br/
Roger	Beleza na Web	https://roger.com.br/
Ros	Beleza na Web	https://ros.com.br/
Rosa Amazonica	Beleza na Web	https://rosaamazonica.com.br/
Roswell Club	Beleza na Web	https://roswellclub.com.br/
Route 66	Mercado Livre	https://route66cosmeticos.com.br/
Royal.d	Beleza na Web	https://royaldcosmeticos.com.br/
Royal Professional	Beleza na Web	https://royalprofessional.com.br/
Roza Raiz Cosmeticos	Beleza na Web	https://rozaraiz.com.br/
Rubelita Professional	Beleza na Web	https://rubelitaprofessional.com.br/
Ruggero Cosmeticos	Beleza na Web	https://ruggerocosmeticos.com.br/
Salles Profissional	Beleza na Web	https://sallesprofissional.com.br/
Sallore	Beleza na Web	https://sallore.com.br/
Salon Line	Beleza na Web	https://salonline.com.br/
Salunat	Mercado Livre	https://salunat.com.br/
Salvatore Cosmeticos	Beleza na Web	https://salvatore.com.br/
Sanliss Profissional	Beleza na Web	https://sanliss.com.br/
Seda	Beleza na Web	https://seda.com.br/
Segredo Dela	Beleza na Web	https://segredodela.com.br/
Senapack	Mercado Livre	https://senapack.com.br/
Sense Brasil	Beleza na Web	https://sensebrasil.com.br/
Shine Blue	Mercado Livre	https://shineblue.com.br/
Sillage	Mercado Livre	https://sillage.com.br/
Silone Hair	Beleza na Web	https://silonehair.com.br/
Simbioze Amazonica	Beleza na Web	https://simbiozeamazonica.com.br/
Simple B	Beleza na Web	https://simpleb.com.br/
Skala	Beleza na Web	https://skala.com.br/
Slide Cosmeticos	Beleza na Web	https://slidecosmeticos.com.br/
Sobelle	Beleza na Web	https://sobelle.com.br/
Sobrebarba	Beleza na Web	https://sobrebarba.com.br/
Soft Hair	Beleza na Web	https://softhair.com.br/
Sollido	Beleza na Web	https://sollido.com.br/
Sorali Cosmetics	Beleza na Web	https://soralicosmetics.com.br/
S.O.S Beleza Brasileira	Beleza na Web	https://sosbelezabrasileira.com.br/
Sos Frizz	Beleza na Web	https://sosfrizz.com.br/
Soul Care	Beleza na Web	https://soulcarecosmeticos.com.br/
Soul Cosmeticos	Beleza na Web	https://soulcosmeticos.com.br/
Soul Power	Beleza na Web	https://soulpowerbrasil.com.br/
Soulta	Beleza na Web	https://soulta.com.br/
Soupleliss Professional	Beleza na Web	https://soupleliss.com.br/
SouthLiss Cosmeticos	Beleza na Web	https://southliss.com.br/
Spa Cosmetics	Mercado Livre	https://spacosmetics.com.br/
Stellar Beauty	Beleza na Web	https://stellarbeauty.com.br/
Stijl	Beleza na Web	https://stijl.com.br/
Strass	Beleza na Web	https://strass.com.br/
Strattus	Mercado Livre	https://strattus.com.br/
Strong Barber	Beleza na Web	https://strongbarber.com.br/
Stuff Anti Frizz	Beleza na Web	https://stuffantifrizz.com.br/
Superbia	Beleza na Web	https://superbia.com.br/
Taiff	Beleza na Web	https://taiff.com.br/
Teimoso	Beleza na Web	https://teimoso.com.br/
Tekmi Cosmeticos	Beleza na Web	https://tekmi.com.br/
Terumy Acessorios	Beleza na Web	https://terumy.com.br/
Three Therapy	Beleza na Web	https://threetherapy.com.br/
Tio Nacho	Beleza na Web	https://tionacho.com.br/
Toplife Profissional	Beleza na Web	https://toplifeprofissional.com.br/
Total Lissy	Beleza na Web	https://totallissy.com.br/
Tra La La	Mercado Livre	https://tralalacosmeticos.com.br/
TreeLiss Profissional	Beleza na Web	https://treeliss.com.br/
Tri-Baum	Beleza na Web	https://tri-baum.com.br/
Tridium Cosmeticos	Beleza na Web	https://tridiumcosmeticos.com.br/
Triskle	Beleza na Web	https://trisklecosmeticos.com.br/
Troia Hair Cosmetics	Beleza na Web	https://troiahair.com.br/
TRUSS	Beleza na Web	https://truss.com.br/
Tyrrel	Mercado Livre	https://tyrrelprofessional.com.br/
Tzaha Professional	Beleza na Web	https://tzaha.com.br/
Uhse	Beleza na Web	https://uhse.com.br/
Up2You	Beleza na Web	https://up2you.com.br/
Vancouver	Beleza na Web	https://vancouvercosmeticos.com.br/
Ve de Verdade	Beleza na Web	https://vedeverdade.com.br/
Vedis	Mercado Livre	https://vedis.com.br/
Veggue Profissional	Beleza na Web	https://veggue.com.br/
Veinira	Beleza na Web	https://veinira.com.br/
Venceslaufarma	Mercado Livre	https://venceslaufarma.com.br/
